                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     62,                 0.7488,                0.67394,                 1.0796,                 0.9797,                0.90909,                0.97053,                0.66605,                0.97355,                0.92188,                 1.3906,              0.0007922,              0.0007922,              0.0007922
                     63,                0.69654,                0.64178,                 1.0518,                0.99265,                0.90909,                0.97999,                0.69021,                0.95357,                0.86308,                 1.3778,              0.0007724,              0.0007724,              0.0007724
                     64,                0.76312,                 0.7243,                  1.098,                      1,                0.97983,                  0.995,                0.68278,                0.94299,                0.81128,                 1.3814,              0.0007526,              0.0007526,              0.0007526
                     65,                 0.7112,                0.67073,                 1.0758,                0.98818,                      1,                  0.995,                0.69214,                0.96304,                0.79303,                 1.4136,              0.0007328,              0.0007328,              0.0007328
                     66,                0.73493,                 0.6926,                 1.1001,                0.95237,                      1,                0.99326,                0.69329,                0.98026,                0.73694,                 1.4295,               0.000713,               0.000713,               0.000713
                     67,                0.71027,                0.64966,                 1.0891,                0.95543,                      1,                0.98935,                0.69308,                0.96891,                0.70951,                 1.4024,              0.0006932,              0.0006932,              0.0006932
                     68,                0.67085,                0.61656,                 1.0644,                0.95509,                      1,                0.98935,                0.70176,                 0.9392,                 0.7166,                 1.3635,              0.0006734,              0.0006734,              0.0006734
                     69,                0.66849,                0.67106,                 1.1064,                0.95629,                0.99465,                0.99109,                0.68108,                0.95294,                0.71757,                 1.3883,              0.0006536,              0.0006536,              0.0006536
                     70,                0.60519,                0.60038,                 0.9789,                 0.9565,                0.99958,                0.99326,                0.67536,                0.98019,                0.71517,                  1.438,              0.0006338,              0.0006338,              0.0006338
                     71,                0.66308,                0.62497,                 1.0882,                0.99503,                0.95455,                0.99326,                0.67307,                 1.0073,                0.70304,                 1.4571,               0.000614,               0.000614,               0.000614
                     72,                  0.641,                0.56308,                  1.007,                0.99344,                0.95455,                0.99326,                0.69296,                 0.9842,                0.69104,                 1.4565,              0.0005942,              0.0005942,              0.0005942
                     73,                0.68053,                0.62398,                 1.0843,                 0.9826,                      1,                  0.995,                0.69301,                0.93903,                0.69691,                 1.4407,              0.0005744,              0.0005744,              0.0005744
                     74,                0.59965,                0.54969,                 1.0133,                0.99307,                      1,                  0.995,                0.69411,                0.93268,                0.67937,                 1.4589,              0.0005546,              0.0005546,              0.0005546
                     75,                0.66624,                0.61793,                 1.0627,                0.99247,                      1,                  0.995,                0.68224,                0.93363,                 0.6791,                 1.4626,              0.0005348,              0.0005348,              0.0005348
                     76,                0.72024,                0.61359,                 1.1536,                0.99225,                      1,                  0.995,                0.69694,                0.93299,                0.68057,                 1.4424,               0.000515,               0.000515,               0.000515
                     77,                 0.7294,                0.62933,                  1.104,                0.98426,                      1,                  0.995,                0.70826,                0.92025,                0.69331,                 1.4237,              0.0004952,              0.0004952,              0.0004952
                     78,                0.61914,                0.60184,                 1.0615,                0.98735,                      1,                  0.995,                0.70638,                0.94077,                0.70837,                 1.4203,              0.0004754,              0.0004754,              0.0004754
                     79,                0.69508,                0.59868,                 1.0973,                      1,                0.99785,                  0.995,                0.71128,                0.95061,                0.69365,                 1.4052,              0.0004556,              0.0004556,              0.0004556
                     80,                 0.6058,                0.56115,                0.99128,                      1,                0.99081,                  0.995,                0.72203,                0.96116,                0.66911,                 1.3906,              0.0004358,              0.0004358,              0.0004358
                     81,                0.67522,                0.57736,                 1.0357,                0.99535,                      1,                  0.995,                0.72752,                0.96133,                0.64973,                 1.4085,               0.000416,               0.000416,               0.000416
                     82,                0.64898,                0.57249,                 1.0303,                0.99075,                      1,                  0.995,                0.72196,                0.95679,                0.63266,                 1.4105,              0.0003962,              0.0003962,              0.0003962
                     83,                0.66439,                0.57128,                 1.0909,                0.99039,                      1,                  0.995,                0.71818,                0.94095,                0.60968,                 1.3818,              0.0003764,              0.0003764,              0.0003764
                     84,                0.59159,                0.54832,                 1.0119,                0.98896,                      1,                  0.995,                0.71244,                0.90663,                0.60366,                 1.3389,              0.0003566,              0.0003566,              0.0003566
                     85,                0.63679,                0.54562,                 1.0433,                0.99421,                      1,                  0.995,                0.72651,                0.87053,                 0.6102,                 1.3188,              0.0003368,              0.0003368,              0.0003368
                     86,                0.66006,                0.56384,                 1.0722,                0.99639,                      1,                  0.995,                0.73647,                0.86433,                0.59453,                 1.3084,               0.000317,               0.000317,               0.000317
                     87,                0.59449,                0.55046,                  1.012,                0.99573,                      1,                  0.995,                0.72705,                0.84692,                0.58786,                 1.3124,              0.0002972,              0.0002972,              0.0002972
                     88,                 0.5859,                0.55612,                 1.0532,                0.99612,                      1,                  0.995,                 0.7356,                 0.8305,                0.58679,                 1.3029,              0.0002774,              0.0002774,              0.0002774
                     89,                0.63001,                0.57035,                 1.1118,                0.99737,                      1,                  0.995,                0.73135,                0.82352,                0.59654,                 1.2849,              0.0002576,              0.0002576,              0.0002576
                     90,                0.57163,                0.65103,                 1.0778,                0.99914,                      1,                  0.995,                0.74313,                0.82701,                0.58738,                 1.2818,              0.0002378,              0.0002378,              0.0002378
                     91,                  0.405,                0.57569,                0.92375,                0.99918,                      1,                  0.995,                0.73834,                0.82639,                0.59989,                 1.2757,               0.000218,               0.000218,               0.000218
                     92,                0.49677,                0.59699,                 1.0062,                0.99981,                      1,                  0.995,                0.75245,                0.82191,                0.60639,                 1.2653,              0.0001982,              0.0001982,              0.0001982
                     93,                0.46481,                0.53155,                0.93396,                0.99902,                      1,                  0.995,                0.74987,                0.81254,                0.60894,                 1.2558,              0.0001784,              0.0001784,              0.0001784
                     94,                0.43252,                 0.4951,                 0.9703,                0.99876,                      1,                  0.995,                0.76863,                0.81491,                0.61084,                  1.264,              0.0001586,              0.0001586,              0.0001586
                     95,                0.45584,                0.47997,                0.94069,                      1,                0.99957,                  0.995,                0.75419,                0.78723,                0.62917,                 1.2344,              0.0001388,              0.0001388,              0.0001388
                     96,                0.42745,                0.50172,                0.94059,                0.99995,                      1,                  0.995,                0.74616,                0.80347,                0.62197,                 1.2504,               0.000119,               0.000119,               0.000119
                     97,                0.42131,                0.48581,                0.98616,                      1,                0.99937,                  0.995,                0.75505,                0.80762,                0.61991,                 1.2564,               9.92e-05,               9.92e-05,               9.92e-05
                     98,                0.41202,                0.51175,                0.89662,                      1,                 0.9989,                  0.995,                0.74734,                0.79994,                0.61973,                  1.256,               7.94e-05,               7.94e-05,               7.94e-05
                     99,                0.45206,                0.51646,                0.95586,                      1,                0.99844,                  0.995,                0.74364,                0.79263,                0.61763,                  1.256,               5.96e-05,               5.96e-05,               5.96e-05
                    100,                0.50704,                0.56998,                 1.0497,                      1,                0.99939,                  0.995,                0.74312,                0.79021,                0.61428,                 1.2612,               3.98e-05,               3.98e-05,               3.98e-05
